facility_name,barcode,name,start_datetime,end_datetime,num_people,num_waitlist,has_reg_early_started,has_reg_ended,has_reg_priority_started,has_reg_return_started,has_reg_started
Badminton Court 5,395201,Badminton Court 5 - Monday  Feb 10 - 3:00 PM,2025-02-10 12:00:00,2025-02-10 13:00:00,0,0,True,False,True,True,True
Badminton Court 6,395202,Badminton Court 6 - Monday  Feb 10 - 3:00 PM,2025-02-10 12:00:00,2025-02-10 13:00:00,1,0,True,False,True,True,True
Badminton Court 1,395245,Badminton Court 1 - Tuesday  Feb 11 - 7:00 AM,2025-02-11 04:00:00,2025-02-11 05:00:00,0,0,True,False,True,True,True
Badminton Court 2,395246,Badminton Court 2 - Tuesday  Feb 11 - 7:00 AM,2025-02-11 04:00:00,2025-02-11 05:00:00,0,0,True,False,True,True,True
Badminton Court 3,395247,Badminton Court 3 - Tuesday  Feb 11 - 7:00 AM,2025-02-11 04:00:00,2025-02-11 05:00:00,1,0,True,False,True,True,True
Badminton Court 4,395248,Badminton Court 4 - Tuesday  Feb 11 - 7:00 AM,2025-02-11 04:00:00,2025-02-11 05:00:00,0,0,True,False,True,True,True
Badminton Court 5,395249,Badminton Court 5 - Tuesday  Feb 11 - 7:00 AM,2025-02-11 04:00:00,2025-02-11 05:00:00,0,0,True,False,True,True,True
Badminton Court 6,395250,Badminton Court 6 - Tuesday  Feb 11 - 7:00 AM,2025-02-11 04:00:00,2025-02-11 05:00:00,0,0,True,False,True,True,True
Badminton Court 1,395251,Badminton Court 1 - Tuesday  Feb 11 - 8:00 AM,2025-02-11 05:00:00,2025-02-11 06:00:00,0,0,True,False,True,True,True
Badminton Court 2,395252,Badminton Court 2 - Tuesday  Feb 11 - 8:00 AM,2025-02-11 05:00:00,2025-02-11 06:00:00,0,0,True,False,True,True,True
Badminton Court 3,395253,Badminton Court 3 - Tuesday  Feb 11 - 8:00 AM,2025-02-11 05:00:00,2025-02-11 06:00:00,0,0,True,False,True,True,True
